在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
我2016年在美国做访问研究的城市问题，它离纽约不远，开车一个多小时。	我二零一六年在美国做访问研究的城市问题，它离纽约不远，开车一个多小时。
因为进了一块美元就得有6块7块8块人民币付出去把这个美元买过来。	因为进了一块美元就得有六块七块八块人民币付出去把这个美元买过来。
税收增加16.7倍，非税的政府收入增加18倍。	税收增加十六点七倍，非税的政府收入增加十八倍。
社保缴纳增加28.7倍，最厉害就是我们这块土地出让金增加了64倍。	社保缴纳增加二十八点七倍，最厉害就是我们这块土地出让金增加了六十四倍。
然后我们还有成本，不是市场竞争的成本，法定的成本，对不对？你看我们从95~2012高速成长期间。	然后我们还有成本，不是市场竞争的成本，法定的成本，对不对？你看我们从九十五到二零一二高速成长期间。
民意的GDP增长了8.6倍，就是不做价格指数调整的工资总额增加了8.8倍。	民意的GDP增长了八点六倍，就是不做价格指数调整的工资总额增加了八点八倍。
所以你看我们这个增长速度，大家看对不对？就是12008~10年就发生阶段性变化。	所以你看我们这个增长速度，大家看对不对？就是一二零零八到十年就发生阶段性变化。
从平均9~10的增长速度一个台阶就到了666.566左右。	从平均九到十的增长速度一个台阶就到了六百六十六点五六六左右。
也是我们07年以来讨论，17年以来讨论这个突围两个主要方向，一个方向。	也是我们零七年以来讨论，十七年以来讨论这个突围两个主要方向，一个方向。
毛主席50年的时候讲过说中国会造什么？会造椅子板凳。	毛主席五十年的时候讲过说中国会造什么？会造椅子板凳。
对不对？当年是要靠苏联156个项目，才让中国工业开始奠定这个近代以来一直没有奠定过的基础。	对不对？当年是要靠苏联一百五十六个项目，才让中国工业开始奠定这个近代以来一直没有奠定过的基础。
第4个阶段这是最近三年我们在佛山研究的题目。	第四个阶段这是最近三年我们在佛山研究的题目。
但是2017年以来，全球竞争的格局提醒我们注意还要再跳一步。	但是二零一七年以来，全球竞争的格局提醒我们注意还要再跳一步。
中国60年报原子弹的时候，美国的原子弹四五年就爆了。	中国六十年报原子弹的时候，美国的原子弹四五年就爆了。
45年的原子弹最早是科学家的论文，是39年的论文。	四十五年的原子弹最早是科学家的论文，是三十九年的论文。
这个想法可能在经验当中产生，但17世纪以后大量是科学基础研究以后的这个派生物。	这个想法可能在经验当中产生，但十七世纪以后大量是科学基础研究以后的这个派生物。
所以中国面临一个很大的未来，往未来5年10年看。	所以中国面临一个很大的未来，往未来五年十年看。
他是48年建国的一个小国家，我们是49年建国一个大国家，以色列的和平环境比我们差得远。	他是四十八年建国的一个小国家，我们是四十九年建国一个大国家，以色列的和平环境比我们差得远。
所以我老问这个问题，今天我们是看到了芯片是个懒累，那5年以后什么是懒累？	所以我老问这个问题，今天我们是看到了芯片是个懒累，那五年以后什么是懒累？
64年我们爆发原子弹的时候，原子弹这个独到性我们已经突破了，可是60年时候还没有芯片。	六四年我们爆发原子弹的时候，原子弹这个独到性我们已经突破了，可是六零年时候还没有芯片。
那未来5年10年还会冒出什么别的东西来。中国在这个领域在这个方向上。	那未来五年十年还会冒出什么别的东西来。中国在这个领域在这个方向上。
深圳发现以后，把他拉到深圳来，已经在这个关外投了很100多个亿量产。	深圳发现以后，把他拉到深圳来，已经在这个关外投了很一百多个亿量产。
问题是华为的研发系统敏感，10年前土耳其科学家这篇关于集号码的论文。	问题是华为的研发系统敏感，十年前土耳其科学家这篇关于集号码的论文。
要在这个基础上再往前提出一个要求，5年10年。	要在这个基础上再往前提出一个要求，五年十年。
所以你看今年公布的这个民营500强那个门槛，哇跟去年跟跟10年前大幅度提高。	所以你看今年公布的这个民营五百强那个门槛，哇跟去年跟跟十年前大幅度提高。
经济机器是怎样运行的，时长30分钟。	经济机器是怎样运行的，时长三十分钟。
其中一个周期持续大约5年至8年，另一个持续大约75年至100年。	其中一个周期持续大约五年至八年，另一个持续大约七十五年至一百年。
美国国内的信贷总额大约为50万亿美元，而货币总额只有大约3万亿美元。	美国国内的信贷总额大约为五十万亿美元，而货币总额只有大约三万亿美元。
我举一个例子，假设你每年挣10万美元，没有任何债务。	我举一个例子，假设你每年挣十万美元，没有任何债务。
由于你的支出是别人的收入，另一个人因此挣了11万美元。	由于你的支出是别人的收入，另一个人因此挣了十一万美元。
这个挣了11万美元的人，如果没有任何债务可以借1.1万美元。	这个挣了十一万美元的人，如果没有任何债务可以借一点一万美元。
他可以消费12.1万美元，即使他的年收入只有11万美元。	他可以消费十二点一万美元，即使他的年收入只有十一万美元。
短期债务周期通常持续5~8年，在几十年里不断重复。	短期债务周期通常持续五到八年，在几十年里不断重复。
日本在1989年和美国在1929年因同样原因发生了这一情况。	日本在一九八九年和美国在一九二九年因同样原因发生了这一情况。
美国、欧洲和世界上很多其他地区在2008年即发生的这一情况。	美国、欧洲和世界上很多其他地区在二零零八年即发生的这一情况。
美国国内的利率在1930年代的去杠杆化期间下降到0，在2008年也是如此。	美国国内的利率在一九三零年代的去杠杆化期间下降到零，在二零零八年也是如此。
但是在去杠杆化过程中，由于利率已经很低，接近0，从而丧失刺激功能，因此降低利率不起作用。	但是在去杠杆化过程中，由于利率已经很低，接近零，从而丧失刺激功能，因此降低利率不起作用。
为此可以采用4种办法一，个人企业和政府削减支出。	为此可以采用四种办法一，个人企业和政府削减支出。
这4种办法被用于现代历史上的每一个去杠杆化过程。	这四种办法被用于现代历史上的每一个去杠杆化过程。
我们再次以98为例，当你用赊账的办法买一瓶啤酒时，是在承诺今后偿还酒吧的赊账。	我们再次以九十八为例，当你用赊账的办法买一瓶啤酒时，是在承诺今后偿还酒吧的赊账。
这种情况发生在美国大萧条期间，并于2008年再次爆发。	这种情况发生在美国大萧条期间，并于二零零八年再次爆发。
当时美国的中央银行及联邦储备委员会增加发行了2万多亿美元。	当时美国的中央银行及联邦储备委员会增加发行了二万多亿美元。
央行已经把利率降到接近0的水平，现在不得不发行更多货币。	央行已经把利率降到接近零的水平，现在不得不发行更多货币。
决策者需要平衡考虑降低债务负担的4种办法。	决策者需要平衡考虑降低债务负担的四种办法。
例如我们假设有个国家正在经历去杠杆化，其债务收入比率是100%。	例如我们假设有个国家正在经历去杠杆化，其债务收入比率是百分之一百。
假设这些债务的利率是2%。	假设这些债务的利率是百分之二。
如果债务以2%的利率速度增加，而收入的增长率仅有大约1%，那么债务负担永远不会减轻。	如果债务以百分之二的利率速度增加，而收入的增长率仅有大约百分之一，那么债务负担永远不会减轻。
为了使债务负担下降和经济活动恢复正常，大约需要10年或更长的时间，因此有失去的十年这种说法。	为了使债务负担下降和经济活动恢复正常，大约需要十年或更长的时间，因此有失去的十年这种说法。
白俄罗斯钦佩中华人民共和国成立70年来取得的辉煌成就。	白俄罗斯钦佩中华人民共和国成立七十年来取得的辉煌成就。
国家主席习近平当地时间14号乘专机抵达杜尚别，开始出席亚洲相互协作与信任措施会议第5次峰会。	国家主席习近平当地时间十四号乘专机抵达杜尚别，开始出席亚洲相互协作与信任措施会议第五次峰会。
建交27年来，中塔关系始终保持健康稳定发展。	建交二十七年来，中塔关系始终保持健康稳定发展。
2017年我和拉赫蒙总统共同决定建立中塔全面战略伙伴关系，两国关系进入快速发展新阶段。	二零一七年我和拉赫蒙总统共同决定建立中塔全面战略伙伴关系，两国关系进入快速发展新阶段。
习近平指出，时隔5年再度踏上这片古老而神奇的土地。	习近平指出，时隔五年再度踏上这片古老而神奇的土地。
拉赫蒙愉快地回忆起习近平5年前来塔吉克斯坦访问的情景。	拉赫蒙愉快地回忆起习近平五年前来塔吉克斯坦访问的情景。
王岐山出席第6届中国俄罗斯博览会，并会见俄罗斯副总理。	王岐山出席第六届中国俄罗斯博览会，并会见俄罗斯副总理。
习近平指出，亚信成立27年来，致力于增进各国互信和协作，维护地区安全和稳定。	习近平指出，亚信成立二十七年来，致力于增进各国互信和协作，维护地区安全和稳定。
2015年我提出构筑亚洲命运共同体倡议新形势下我们要坚持既定目标，共赢机遇共对挑战。	二零一五年我提出构筑亚洲命运共同体倡议新形势下我们要坚持既定目标，共赢机遇共对挑战。
要摒弃0和博弈保护主义，加强政策沟通，增进政治互信，逐步扩大战略共识。	要摒弃零和博弈保护主义，加强政策沟通，增进政治互信，逐步扩大战略共识。
我们要共同推动贸易和投资自由化便利化，落实今年4月第二届一带一路国际合作高峰论坛共识。	我们要共同推动贸易和投资自由化便利化，落实今年四月第二届一带一路国际合作高峰论坛共识。
建设开放包容的亚洲是我们的共同追求。我们要落实好今年5月亚洲文明对话大会共识。	建设开放包容的亚洲是我们的共同追求。我们要落实好今年五月亚洲文明对话大会共识。
各位观众，今天的新闻联播节目大约需要57分钟，一下来看详细报道。	各位观众，今天的新闻联播节目大约需要五十七分钟，一下来看详细报道。
中方将继续在和平共处5项原则基础上深化同各国的友好合作。	中方将继续在和平共处五项原则基础上深化同各国的友好合作。
上海合作组织成员国元首理事会第19次会议，当地时间6月14号在吉尔吉斯斯坦首都比什凯克举行。	上海合作组织成员国元首理事会第十九次会议，当地时间六月十四号在吉尔吉斯斯坦首都比什凯克举行。
习近平指出，今年1月埃米尔殿下对中国进行国事访问，我们就新形势下推动中卡战略伙伴关系发展。	习近平指出，今年一月埃米尔殿下对中国进行国事访问，我们就新形势下推动中卡战略伙伴关系发展。
峰会发表了亚洲相互协作与信任措施。会议第5次峰会宣言。	峰会发表了亚洲相互协作与信任措施。会议第五次峰会宣言。
双方要加快推进在能源经贸基础设施建设投资，第5代移动通信等领域的全方位合作。	双方要加快推进在能源经贸基础设施建设投资，第五代移动通信等领域的全方位合作。
今天是6月15号，星期六农历5月13，欢迎收看新闻联播节目。	今天是六月十五号，星期六农历五月十三，欢迎收看新闻联播节目。
塔米姆表示，卡中关系是战略性的，我今年1月访华非常成功。	塔米姆表示，卡中关系是战略性的，我今年一月访华非常成功。
本台消息6月16号出版的第12期求是杂志，将发表中共中央总书记国家主席。	本台消息六月十六号出版的第十二期求是杂志，将发表中共中央总书记国家主席。
中土都是20国集团重要成员，双方要加强在20国集团等多边领域的沟通协调。	中土都是二十国集团重要成员，双方要加强在二十国集团等多边领域的沟通协调。
中国特色社会主义文化源自于中华民族5000多年文明历史所孕育的中华优秀传统文化。	中国特色社会主义文化源自于中华民族五千多年文明历史所孕育的中华优秀传统文化。
并发表主旨演讲表示，值此中俄建交70周年，两国元首共同宣布。	并发表主旨演讲表示，值此中俄建交七十周年，两国元首共同宣布。
国家副主席王岐山6月14号在哈尔滨会见了俄罗斯副总理阿基莫夫。王岐山表示。	国家副主席王岐山六月十四号在哈尔滨会见了俄罗斯副总理阿基莫夫。王岐山表示。
原知识产权5条热线和平台的整合，实现12315一个号码对外一个平台受理，方便消费者。	原知识产权五条热线和平台的整合，实现一二三一五一个号码对外一个平台受理，方便消费者。
习近平总书记向2019中国西藏发展论坛发来的贺信，在会场内外及西藏各族群众中引起热烈反响。	习近平总书记向二零一九中国西藏发展论坛发来的贺信，在会场内外及西藏各族群众中引起热烈反响。
构建更加紧密的上海合作组织命运共同体。这是习主席继去年上合组织青岛峰会提出5项建议之后。	构建更加紧密的上海合作组织命运共同体。这是习主席继去年上合组织青岛峰会提出五项建议之后。
香港特区行政长官林正月娥15号宣布特区政府决定暂缓修订逃犯条例的工作。	香港特区行政长官林正月娥十五号宣布特区政府决定暂缓修订逃犯条例的工作。
2019年逃犯及刑事事宜相互法律协助法律修订条例草案。	二零一九年逃犯及刑事事宜相互法律协助法律修订条例草案。
该发言人表示，今年2月香港特别行政区政府启动与移交逃犯相关的两个条例修订工作。	该发言人表示，今年二月香港特别行政区政府启动与移交逃犯相关的两个条例修订工作。
这包括让社会尽快恢复平静，以及避免再有执法人员和市民受到伤害。特区政府今年4月向立法会提交了。	这包括让社会尽快恢复平静，以及避免再有执法人员和市民受到伤害。特区政府今年四月向立法会提交了。
本台消息外交部发言人耿爽15号就香港特别行政区修订与移交逃犯相关的两个条例问题发表谈话。	本台消息外交部发言人耿爽十五号就香港特别行政区修订与移交逃犯相关的两个条例问题发表谈话。
今年2月香港特区政府提出修订逃犯条例和刑事事宜相互法律协助条例以来，得到香港主流民意支持。	今年二月香港特区政府提出修订逃犯条例和刑事事宜相互法律协助条例以来，得到香港主流民意支持。
对联邦快递未按明知投递快递行为，国家有关部门在6月1号宣布决定立案调查联邦快递。	对联邦快递未按明知投递快递行为，国家有关部门在六月一号宣布决定立案调查联邦快递。
14号国家有关部门向联邦快递中国有限公司送达了询问通知书，专家表示案件已经进入调查阶段。	十四号国家有关部门向联邦快递中国有限公司送达了询问通知书，专家表示案件已经进入调查阶段。
今年前5个月出入内蒙古二连浩特铁路口岸的中欧班列数量达到614列，同比增长34.6%。	今年前五个月出入内蒙古二连浩特铁路口岸的中欧班列数量达到六百一十四列，同比增长百分之三十四点六。
回程重载率达到了100%。内蒙古二连浩特铁路口岸是中欧班列中线通道的出境口岸。	回程重载率达到了百分之一百。内蒙古二连浩特铁路口岸是中欧班列中线通道的出境口岸。
中华人民共和国行政处罚法第37条明确规定。	中华人民共和国行政处罚法第三十七条明确规定。
第10届国际空间轨道设计大赛近日揭晓，国防科技大学与西安卫星测控中心连队以绝对优势首次荣获冠军。	第十届国际空间轨道设计大赛近日揭晓，国防科技大学与西安卫星测控中心连队以绝对优势首次荣获冠军。
该赛事是世界航天领域的高水平专业性竞赛，本届比赛全球共有73支专业队伍参赛，规模为历届之最。	该赛事是世界航天领域的高水平专业性竞赛，本届比赛全球共有七十三支专业队伍参赛，规模为历届之最。
13号，包括美国最大超市沃尔玛在内的超过600家企业和协会联名致信美国政府。	十三号，包括美国最大超市沃尔玛在内的超过六百家企业和协会联名致信美国政府。
这封信由520家美国企业和141个贸易协会共同签署。信中说。	这封信由五百二十家美国企业和一百四十一个贸易协会共同签署。信中说。
习近平出席上海合作组织成员国元首理事会第19次会议，并发表重要讲话，强调秉持上海精神。	习近平出席上海合作组织成员国元首理事会第十九次会议，并发表重要讲话，强调秉持上海精神。
信函援引一项研究结果说，如果对额外3000亿美元中国输美商品加征关税，加上已经生效的加征关税举措。	信函援引一项研究结果说，如果对额外三千亿美元中国输美商品加征关税，加上已经生效的加征关税举措。
将导致美国损失200万个就业岗位，国内生产总值减少1%。	将导致美国损失两百万个就业岗位，国内生产总值减少百分之一。
本月12号由美国大型企业高管组成的商业圆桌会议发布的调查结果也显示。	本月十二号由美国大型企业高管组成的商业圆桌会议发布的调查结果也显示。
第二季度经济展望指数下跌5.7点至89.5点。	第二季度经济展望指数下跌五点七点至八十九点五点。
14号印度时报等多家媒体报道称，印度将从16号起对包括杏仁、核桃、豆类。	十四号印度时报等多家媒体报道称，印度将从十六号起对包括杏仁、核桃、豆类。
和铁板杂志产品在内的29种美国产品征收额外关税，加征后的税率最高达120%。	和铁板杂志产品在内的二十九种美国产品征收额外关税，加征后的税率最高达百分之一百二十。
涉及美方大约2.2亿美元的商品。印度财政部将很快发布相关通知，2018年3月。	涉及美方大约二点二亿美元的商品。印度财政部将很快发布相关通知，二零一八年三月。
从6月5号起终止印度普惠制待遇。	从六月五号起终止印度普惠制待遇。
13号两艘油轮在阿曼湾海域预习。	十三号两艘油轮在阿曼湾海域预习。
13号一枚火箭弹从加沙地带发射至以色列境内，造成房屋受损。	十三号一枚火箭弹从加沙地带发射至以色列境内，造成房屋受损。
第6届南欧峰会14号在马耳他首都瓦莱塔举行。	第六届南欧峰会十四号在马耳他首都瓦莱塔举行。
与会7国领导人表示，将共同努力缓解气候变化对地中海地区的影响，并解决非法移民问题。	与会七国领导人表示，将共同努力缓解气候变化对地中海地区的影响，并解决非法移民问题。
习近平出席中俄蒙元首第5次会晤。	习近平出席中俄蒙元首第五次会晤。
以及关于信息通信、技术、禁毒地方合作等13个合作文件。	以及关于信息通信、技术、禁毒地方合作等十三个合作文件。
国家主席习近平当地时间14号在比什凯克同俄罗斯总统普京，蒙古国总统巴特图勒嘎。	国家主席习近平当地时间十四号在比什凯克同俄罗斯总统普京，蒙古国总统巴特图勒嘎。
举行中俄蒙三国元首第5次会晤。三国元首总结三方合作成果，共商全面推进合作大计。	举行中俄蒙三国元首第五次会晤。三国元首总结三方合作成果，共商全面推进合作大计。
去年6月我们在青岛举行三国元首第4次会晤以来，三方密切沟通协作，三方合作逐步深入发展。	去年六月我们在青岛举行三国元首第四次会晤以来，三方密切沟通协作，三方合作逐步深入发展。
习近平抵达杜尚别，开始出席亚洲相互协作与信任措施会议第5次峰会，并对塔吉克斯坦共和国进行国事访问。	习近平抵达杜尚别，开始出席亚洲相互协作与信任措施会议第五次峰会，并对塔吉克斯坦共和国进行国事访问。
习近平出席亚洲相互协作与信任措施会议第5次峰会，并发表重要讲话，强调共赢机遇，共对挑战。	习近平出席亚洲相互协作与信任措施会议第五次峰会，并发表重要讲话，强调共赢机遇，共对挑战。
习近平指出，今年中方将分别同俄蒙两方庆祝建交70周年，中俄蒙三方合作将迎来新的机遇。	习近平指出，今年中方将分别同俄蒙两方庆祝建交七十周年，中俄蒙三方合作将迎来新的机遇。
国家主席习近平。当地时间14号，在比斯凯克会见白俄罗斯总统卢卡申科。	国家主席习近平。当地时间十四号，在比斯凯克会见白俄罗斯总统卢卡申科。
最近半年平均每分钟中国风就会被搜索805次，是去年同期的2.5倍。	最近半年平均每分钟中国风就会被搜索八百零五次，是去年同期的二点五倍。
其中50%以上都来自90后与00后。	其中百分之五十以上都来自九零后与零零后。
仅中秋前后一个月卖出了3000多把油纸伞。	仅中秋前后一个月卖出了三千多把油纸伞。
制作油纸伞的过程，一放到直播平台上就吸引了60万粉丝。	制作油纸伞的过程，一放到直播平台上就吸引了六十万粉丝。
他带领团队奋斗40多年，攻克了世界级难题，成功研制出激光陀螺，并将科研成果转化成战斗力。	他带领团队奋斗四十多年，攻克了世界级难题，成功研制出激光陀螺，并将科研成果转化成战斗力。
这是继美法俄之后，我国成为世界上第4个能够独立研制激光陀螺的国家。	这是继美法俄之后，我国成为世界上第四个能够独立研制激光陀螺的国家。
上世纪60年代初，美国研制出世界上第一台激光陀螺仪的原理样机。	上世纪六十年代初，美国研制出世界上第一台激光陀螺仪的原理样机。
1971年时任国防科工委副主任的钱学森将激光陀螺的大致技术原理写在两张小纸片上。	一九七一年时任国防科工委副主任的钱学森将激光陀螺的大致技术原理写在两张小纸片上。
在庆祝全国人民代表大会成立60周年大会上的讲话。	在庆祝全国人民代表大会成立六十周年大会上的讲话。
1978年高博龙率领课题组成功研制出我国第一代激光陀螺实验室原理样机。	一九七八年高博龙率领课题组成功研制出我国第一代激光陀螺实验室原理样机。
当时国内顶尖镀膜机穿透率最高千分之1，制造激光陀螺起步就要万分之1。	当时国内顶尖镀膜机穿透率最高千分之一，制造激光陀螺起步就要万分之一。
美国光在解决镀膜问题上就花了近30年的时间。	美国光在解决镀膜问题上就花了近三十年的时间。
为攻克镀膜技术这一难关，高博龙把实验室当成第二个家，每天工作15个小时。	为攻克镀膜技术这一难关，高博龙把实验室当成第二个家，每天工作十五个小时。
在经历了无数次挫折与失败后，1994年11月8号，国第一台激光陀螺工程化样机诞生。	在经历了无数次挫折与失败后，一九九四年十一月八号，国第一台激光陀螺工程化样机诞生。
2013年以85岁高龄的高伯龙。	二零一三年以八十五岁高龄的高伯龙。
并提供了城市大脑、智慧社区等17个科技应用场景建设项目。	并提供了城市大脑、智慧社区等十七个科技应用场景建设项目。
今年上半年海淀区地区生产总值占到了北京全市经济总量的1/5以上。	今年上半年海淀区地区生产总值占到了北京全市经济总量的五分之一以上。
针对人工智能企业缺乏让技术落地的应用问题，推出了人工智能15条等多项新政策。	针对人工智能企业缺乏让技术落地的应用问题，推出了人工智能十五条等多项新政策。
香港最大政团民建联本月12号向特区政府提出，通过规划新发展区或公营发展项目。	香港最大政团民建联本月十二号向特区政府提出，通过规划新发展区或公营发展项目。
截至9月15号17:00，全国未发生重大及以上生产安全事故。	截至九月十五号十七点，全国未发生重大及以上生产安全事故。
节日期间，全国消防救援队伍共参加灭火和抢险救援5654起。	节日期间，全国消防救援队伍共参加灭火和抢险救援五千六百五十四起。
营救遇险被困群众869人。	营救遇险被困群众八百六十九人。
全国铁路预计发送旅客1172万人次，加开旅客列车928列。	全国铁路预计发送旅客一千一百七十二万人次，加开旅客列车九百二十八列。
从今天15点起，高速部分路段出现短时车流量大的情况。	从今天十五点起，高速部分路段出现短时车流量大的情况。
车流量拥堵程度约为平日的2.1倍。	车流量拥堵程度约为平日的二点一倍。
经过遴选推荐群众网上投票等程序，日前产生了300名建议人选。	经过遴选推荐群众网上投票等程序，日前产生了三百名建议人选。
今天起至9月20号进入公示阶段。	今天起至九月二十号进入公示阶段。
该活动是为了表彰新中国成立70年来各个不同历史时期涌现的。	该活动是为了表彰新中国成立七十年来各个不同历史时期涌现的。
是中国社会100多年激越变革激荡发展的历史结果。	是中国社会一百多年激越变革激荡发展的历史结果。
第7届全国道德模范评选表彰活动，自今年3月启动以来，按照群众推荐严格审核。	第七届全国道德模范评选表彰活动，自今年三月启动以来，按照群众推荐严格审核。
共评出58位全国道德模范和257位提名奖获得者。	共评出五十八位全国道德模范和两百五十七位提名奖获得者。
颁奖仪式专题电视节目将于今晚在我台综合频道8点档播出。	颁奖仪式专题电视节目将于今晚在我台综合频道八点档播出。
让大家知道在舞蹈、武术、中餐、茶道背后是5000年的文明。	让大家知道在舞蹈、武术、中餐、茶道背后是五千年的文明。
举行了丰富多彩的活动，庆祝即将到来的新中国70周年华诞。	举行了丰富多彩的活动，庆祝即将到来的新中国七十周年华诞。
沙特能源大臣15号表示。	沙特能源大臣十五号表示。
与会各方就筹措10亿美元资金用于打击区域恐怖主义达成一致。	与会各方就筹措十亿美元资金用于打击区域恐怖主义达成一致。
受袭击事件影响，短期内沙特将每天减产原油约570万桶。	受袭击事件影响，短期内沙特将每天减产原油约五百七十万桶。
今天是9月15号星期日，农历8月17，欢迎收看新闻联播节目。	今天是九月十五号星期日，农历八月十七，欢迎收看新闻联播节目。
对此伊朗外交部15号表示，美方的指责毫无根据。	对此伊朗外交部十五号表示，美方的指责毫无根据。
求是杂志发表习近平总书记重要文章，在庆祝全国人民代表大会成立60周年大会上的讲话。	求是杂志发表习近平总书记重要文章，在庆祝全国人民代表大会成立六十周年大会上的讲话。
系列报道爱国情奋斗者今天为您播出，高伯龙院士生前带领团队奋斗40多年，成功研制出激光陀螺。	系列报道爱国情奋斗者今天为您播出，高伯龙院士生前带领团队奋斗四十多年，成功研制出激光陀螺。
让新疆沙湾县安集海镇的4万多亩辣椒迎来了丰收。	让新疆沙湾县安集海镇的四万多亩辣椒迎来了丰收。
